codigoMesa,sanchez,fujimori
068425,16,12
068442,17,10
068444,27,4
068445,15,14
068450,15,12
068475,12,12
068479,15,5
068487,9,9
068493,32,38
068503,16,11
068511,16,10
068528,13,10
068530,20,5
068536,33,11
068553,45,12
068564,25,11
068565,29,10
068568,24,11
068577,27,11
068580,39,8
068581,41,15
068582,34,10
068584,34,5
068589,56,15
068590,39,10
068593,60,17
068607,33,6
068610,19,13
068612,3,3
068613,20,14
068617,0,0
068618,15,8
068629,14,9
068630,7,6
068632,21,13
068643,1,10
068664,25,8
068682,18,16
068683,17,8
068684,7,19
068691,25,21
068694,22,5
068699,23,11
068713,9,5
068720,12,15
068722,12,3
068726,24,15
068742,12,10
068747,13,6
068765,14,11
068782,34,7
068783,49,5
068788,45,5
068789,44,8
068798,66,16
068799,57,8
068805,34,8
068812,36,5
068816,56,10
068817,48,7
068824,40,6
068827,17,3
068852,30,13
068883,9,26
068886,8,31
068898,1,41
068902,12,49
068906,13,44
068908,11,32
068912,12,41
068923,13,44
068931,15,32
068932,12,35
068961,3,71
068979,23,21
068983,16,29
068985,9,23
068988,21,19
068994,18,30
068995,20,0
069000,15,23
069001,19,18
069007,29,10
069016,33,28
069025,18,14
069031,13,11
069036,8,32
069037,8,35
069071,12,38
069072,13,36
069077,12,39
069090,21,34
069093,3,39
069107,0,54
069113,8,36
069118,9,40
069127,5,21
069132,53,25
069138,33,8
069143,24,19
069148,40,12
069149,50,15
069153,45,10
069159,39,12
069160,60,20
903664,16,49
903705,30,5
